country,iso3,us_tier_raw,china_penetration_raw,china_digital_raw,governance_raw,investment_usd_bn,compute_mw,non_oil_diversification_proxy,us_tier_score_100,china_penetration_score_100,china_digital_score_100,governance_score_100,investment_score_100,compute_score_100,us_integration_depth,us_integration_factors_available,china_exposure_depth,china_exposure_factors_available,net_alignment_score
Saudi Arabia,SAU,3,3,4,4,34.2,3763.0,,60.0,60.0,80.0,80.0,90.56978653798123,94.63837951317173,79.56244981534589,3,70.0,2,54.781224907672936
United Arab Emirates,ARE,4,3,3,5,15.2,400.0,,80.0,60.0,60.0,100.0,70.83252164233514,68.89863146740993,73.91934593292352,3,60.0,2,56.95967296646177
Qatar,QAT,2,2,2,2,,,,40.0,40.0,40.0,40.0,,,40.0,1,40.0,2,50.0
Bahrain,BHR,2,2,1,3,,,,40.0,40.0,20.0,60.0,,,40.0,1,30.0,2,55.0
Kuwait,KWT,1,4,3,2,,,,20.0,80.0,60.0,40.0,,,20.0,1,70.0,2,25.0
Oman,OMN,1,3,3,1,,,,20.0,60.0,60.0,20.0,,,20.0,1,60.0,2,30.0
Pakistan,PAK,1,4,4,3,,,,20.0,80.0,80.0,60.0,,,20.0,1,80.0,2,20.0
Turkey,TUR,2,4,3,3,,,,40.0,80.0,60.0,60.0,,,40.0,1,70.0,2,35.0
Israel,ISR,4,0,1,4,4.5,194.0,,80.0,0.0,20.0,80.0,43.357672783093925,60.61140995305861,63.19072482084576,3,10.0,2,76.59536241042288
Egypt,EGY,1,3,3,3,0.95,32.1,,20.0,60.0,60.0,60.0,16.985223531210426,40.22599358621313,25.163365135227068,3,60.0,2,32.581682567613534
Jordan,JOR,1,1,2,3,,400.0,,20.0,20.0,40.0,60.0,,68.89863146740993,40.95655634317569,2,30.0,2,55.478278171587846
Iraq,IRQ,0,4,1,3,,12.0,,0.0,80.0,20.0,60.0,,29.48325621636898,12.635681235586706,2,50.0,2,31.31784061779335
Lebanon,LBN,0,2,1,3,0.05,,,0.0,40.0,20.0,60.0,1.2409035579643901,,0.5318158105561672,2,30.0,2,35.265907905278084
Syria,SYR,0,4,1,0,0.8,,,0.0,80.0,20.0,0.0,14.949459101390698,,6.406911043453157,2,50.0,2,28.203455521726582
Iran,IRN,0,4,1,3,,,,0.0,80.0,20.0,60.0,,,0.0,1,50.0,2,25.0
Yemen,YEM,0,2,0,0,,,,0.0,40.0,0.0,0.0,,,0.0,1,20.0,2,40.0
Afghanistan,AFG,0,1,0,0,,,,0.0,20.0,0.0,0.0,,,0.0,1,10.0,2,45.0
