snapshot_date,country,iso3,us_integration_depth,china_exposure_depth,net_alignment_score,source
2023-11-19,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2023-11-19,Bahrain,BHR,40.0,30.0,55.0,backfilled
2023-11-19,Egypt,EGY,20.9378220573697,60.0,30.46891102868485,backfilled
2023-11-19,Iran,IRN,0.0,50.0,25.0,backfilled
2023-11-19,Iraq,IRQ,0.0,50.0,25.0,backfilled
2023-11-19,Israel,ISR,80.0,10.0,85.0,backfilled
2023-11-19,Jordan,JOR,20.0,30.0,45.0,backfilled
2023-11-19,Kuwait,KWT,20.0,70.0,25.0,backfilled
2023-11-19,Lebanon,LBN,0.0,30.0,35.0,backfilled
2023-11-19,Oman,OMN,20.0,60.0,30.0,backfilled
2023-11-19,Pakistan,PAK,20.0,80.0,20.0,backfilled
2023-11-19,Qatar,QAT,40.0,40.0,50.0,backfilled
2023-11-19,Saudi Arabia,SAU,0.0,70.0,15.0,backfilled
2023-11-19,Syria,SYR,0.0,50.0,25.0,backfilled
2023-11-19,Turkey,TUR,40.0,70.0,35.0,backfilled
2023-11-19,United Arab Emirates,ARE,40.0,60.0,40.0,backfilled
2023-11-19,Yemen,YEM,0.0,20.0,40.0,backfilled
2024-05-21,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2024-05-21,Bahrain,BHR,40.0,30.0,55.0,backfilled
2024-05-21,Egypt,EGY,22.57913120770374,60.0,31.28956560385187,backfilled
2024-05-21,Iran,IRN,0.0,50.0,25.0,backfilled
2024-05-21,Iraq,IRQ,0.0,50.0,25.0,backfilled
2024-05-21,Israel,ISR,80.0,10.0,85.0,backfilled
2024-05-21,Jordan,JOR,20.0,30.0,45.0,backfilled
2024-05-21,Kuwait,KWT,20.0,70.0,25.0,backfilled
2024-05-21,Lebanon,LBN,0.0,30.0,35.0,backfilled
2024-05-21,Oman,OMN,20.0,60.0,30.0,backfilled
2024-05-21,Pakistan,PAK,20.0,80.0,20.0,backfilled
2024-05-21,Qatar,QAT,40.0,40.0,50.0,backfilled
2024-05-21,Saudi Arabia,SAU,0.0,70.0,15.0,backfilled
2024-05-21,Syria,SYR,0.0,50.0,25.0,backfilled
2024-05-21,Turkey,TUR,40.0,70.0,35.0,backfilled
2024-05-21,United Arab Emirates,ARE,40.0,60.0,40.0,backfilled
2024-05-21,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-01-01,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-01-01,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-01-01,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-01-01,Iran,IRN,0.0,50.0,25.0,backfilled
2025-01-01,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-01-01,Israel,ISR,80.0,10.0,85.0,backfilled
2025-01-01,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-01-01,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-01-01,Lebanon,LBN,0.0,30.0,35.0,backfilled
2025-01-01,Oman,OMN,20.0,60.0,30.0,backfilled
2025-01-01,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-01-01,Qatar,QAT,40.0,40.0,50.0,backfilled
2025-01-01,Saudi Arabia,SAU,34.121059506698685,70.0,32.06052975334934,backfilled
2025-01-01,Syria,SYR,0.0,50.0,25.0,backfilled
2025-01-01,Turkey,TUR,40.0,70.0,35.0,backfilled
2025-01-01,United Arab Emirates,ARE,40.0,60.0,40.0,backfilled
2025-01-01,Yemen,YEM,0.0,20.0,40.0,backfilled
2025-02-01,Afghanistan,AFG,0.0,10.0,45.0,backfilled
2025-02-01,Bahrain,BHR,40.0,30.0,55.0,backfilled
2025-02-01,Egypt,EGY,23.411702194731177,60.0,31.70585109736559,backfilled
2025-02-01,Iran,IRN,0.0,50.0,25.0,backfilled
2025-02-01,Iraq,IRQ,0.0,50.0,25.0,backfilled
2025-02-01,Israel,ISR,80.0,10.0,85.0,backfilled
2025-02-01,Jordan,JOR,20.0,30.0,45.0,backfilled
2025-02-01,Kuwait,KWT,20.0,70.0,25.0,backfilled
2025-02-01,Lebanon,LBN,0.0,30.0,35.0,backfilled
2025-02-01,Oman,OMN,20.0,60.0,30.0,backfilled
2025-02-01,Pakistan,PAK,20.0,80.0,20.0,backfilled
2025-02-01,Qatar,QAT,40.0,40.0,50.0,backfilled
