iso3,indicator,year,value
SAU,NY.GDP.PETR.RT.ZS,2021,23.6862940574499
SAU,NY.GDP.PETR.RT.ZS,2020,15.9789107766923
SAU,NY.GDP.PETR.RT.ZS,2019,24.3295780055005
SAU,NY.GDP.PETR.RT.ZS,2018,28.0842811588989
SAU,NY.GDP.PETR.RT.ZS,2017,23.6170719123709
SAU,NY.GDP.PETR.RT.ZS,2016,20.0051771356735
SAU,NY.GDP.PETR.RT.ZS,2015,23.9567993223384
SAU,NY.GDP.PETR.RT.ZS,2014,40.3219689900701
SAU,NY.GDP.PETR.RT.ZS,2013,44.4564985480281
SAU,NY.GDP.PETR.RT.ZS,2012,47.4093852263553
SAU,BX.KLT.DINV.WD.GD.ZS,2025,2.55517254024168
SAU,BX.KLT.DINV.WD.GD.ZS,2024,1.70136894275871
SAU,BX.KLT.DINV.WD.GD.ZS,2023,1.87130991298946
SAU,BX.KLT.DINV.WD.GD.ZS,2022,2.1556449627378
SAU,BX.KLT.DINV.WD.GD.ZS,2021,2.8850612174452
SAU,BX.KLT.DINV.WD.GD.ZS,2020,0.211115523412857
SAU,BX.KLT.DINV.WD.GD.ZS,2019,0.346411455797861
SAU,BX.KLT.DINV.WD.GD.ZS,2018,1.36945683303735
SAU,BX.KLT.DINV.WD.GD.ZS,2017,0.136801407151884
SAU,BX.KLT.DINV.WD.GD.ZS,2016,3.18518611850268
SAU,NY.GDP.MKTP.CD,2025,1276942933333.33
SAU,NY.GDP.MKTP.CD,2024,1254140800000
SAU,NY.GDP.MKTP.CD,2023,1218584800000
SAU,NY.GDP.MKTP.CD,2022,1239075200000
SAU,NY.GDP.MKTP.CD,2021,982661066666.667
SAU,NY.GDP.MKTP.CD,2020,767951200000
SAU,NY.GDP.MKTP.CD,2019,888890133333.333
SAU,NY.GDP.MKTP.CD,2018,886564800000
SAU,NY.GDP.MKTP.CD,2017,741266133333.333
SAU,NY.GDP.MKTP.CD,2016,689279466666.667
ARE,NY.GDP.PETR.RT.ZS,2021,15.6730945329946
ARE,NY.GDP.PETR.RT.ZS,2020,10.4940977026696
ARE,NY.GDP.PETR.RT.ZS,2019,15.681591549088
ARE,NY.GDP.PETR.RT.ZS,2018,17.0989945007163
ARE,NY.GDP.PETR.RT.ZS,2017,13.4985731745503
ARE,NY.GDP.PETR.RT.ZS,2016,11.0807563620506
ARE,NY.GDP.PETR.RT.ZS,2015,13.1025344354216
ARE,NY.GDP.PETR.RT.ZS,2014,22.9458647037024
ARE,NY.GDP.PETR.RT.ZS,2013,26.2480640478396
ARE,NY.GDP.PETR.RT.ZS,2012,27.0648520266069
ARE,BX.KLT.DINV.WD.GD.ZS,2024,8.26261604873876
ARE,BX.KLT.DINV.WD.GD.ZS,2023,5.87183983564899
ARE,BX.KLT.DINV.WD.GD.ZS,2022,4.44591398367961
ARE,BX.KLT.DINV.WD.GD.ZS,2021,4.89230595097426
ARE,BX.KLT.DINV.WD.GD.ZS,2020,5.56735667729859
ARE,BX.KLT.DINV.WD.GD.ZS,2019,4.11928554446951
ARE,BX.KLT.DINV.WD.GD.ZS,2018,2.35729206588897
ARE,BX.KLT.DINV.WD.GD.ZS,2017,2.5669608321193
ARE,BX.KLT.DINV.WD.GD.ZS,2016,2.51620120421066
ARE,BX.KLT.DINV.WD.GD.ZS,2015,2.23861341413826
ARE,NY.GDP.MKTP.CD,2024,552324919095.872
ARE,NY.GDP.MKTP.CD,2023,522622268401.125
ARE,NY.GDP.MKTP.CD,2022,511403404642.173
ARE,NY.GDP.MKTP.CD,2021,422441282436.237
ARE,NY.GDP.MKTP.CD,2020,357161776271.328
ARE,NY.GDP.MKTP.CD,2019,433926218686.108
ARE,NY.GDP.MKTP.CD,2018,440560003161.236
ARE,NY.GDP.MKTP.CD,2017,403365056078.846
ARE,NY.GDP.MKTP.CD,2016,381717208620.964
ARE,NY.GDP.MKTP.CD,2015,381973135513.065
QAT,NY.GDP.PETR.RT.ZS,2021,15.2784667126988
QAT,NY.GDP.PETR.RT.ZS,2020,10.5957303632833
QAT,NY.GDP.PETR.RT.ZS,2019,14.5084244384971
QAT,NY.GDP.PETR.RT.ZS,2018,16.2911609453974
QAT,NY.GDP.PETR.RT.ZS,2017,13.5394624768111
QAT,NY.GDP.PETR.RT.ZS,2016,11.1615579117458
QAT,NY.GDP.PETR.RT.ZS,2015,13.0300594635573
QAT,NY.GDP.PETR.RT.ZS,2014,21.5388184142326
QAT,NY.GDP.PETR.RT.ZS,2013,25.3595869913171
QAT,NY.GDP.PETR.RT.ZS,2012,28.3389822463275
QAT,BX.KLT.DINV.WD.GD.ZS,2025,1.40702006150615
QAT,BX.KLT.DINV.WD.GD.ZS,2024,0.212749202349259
QAT,BX.KLT.DINV.WD.GD.ZS,2023,-0.222614821674707
QAT,BX.KLT.DINV.WD.GD.ZS,2022,0.0322850616403459
QAT,BX.KLT.DINV.WD.GD.ZS,2021,-0.608353846418717
QAT,BX.KLT.DINV.WD.GD.ZS,2020,-1.68550858988767
QAT,BX.KLT.DINV.WD.GD.ZS,2019,-1.59472537643955
QAT,BX.KLT.DINV.WD.GD.ZS,2018,-1.19249695201383
QAT,BX.KLT.DINV.WD.GD.ZS,2017,0.612038723345893
